governorate_id,city_name_ar,city_name_en,latitude,longitude,
1,القاهرة,Cairo,30.0443879,31.2357257,
1,الشروق,El Shorouk,30.1488541,31.6295623,
1,عابدين,Abdin,30.044988,31.2488627,
1,بولاق,Boulak,30.0591855,31.2341778,
1,منشية ناصر,Manshiet Naser,30.0363319,31.2763286,
1,روض الفرج,Rod El-Farag,30.0732299,31.2363328,
1,السبتية,Al-Sabtiyya,30.0648978,31.2298942,
1,مصر القديمة,Masr Al-Qadima,30.0072008,31.229366,
1,السيدة زينب,Al-Sayyida Zeinab,30.0273241,31.2404117,
1,الغورية,El-Ghuriyya,30.0452852,31.2601925,
1,الظاهر,Al-Zaher,30.0639735,31.2594293,
1,القاهرة الإسلامية,Islamic Cairo,30.0487472,31.2637754,
1,الخامس عشر من مايو,Fifteenth Of May,29.8320418,31.3647679,
1,بدر,Badr,30.142806,31.742824,
1,الوايلى,El-Waily,30.0668177,31.2760789,
1,حدائق حلوان,Hadayek helwan,29.8968261,31.3009298,
1,وادي حوف,Wadi Hof,29.8827544,31.3053071,
1,المعصرة,Al-Maasara,29.9091281,31.2912838,
1,مدينتي,Madinaty,30.0916925,31.6238026,
1,عين الصيرة,Ain El Sira,30.0139077,31.2450787,
1,عباسية,Abbasseya,30.0712082,31.2763653,
1,السكاكينى,El Sakakini,30.0634925,31.2677107,
1,الدمرداش,El-Demerdash,30.0801775,31.2805525,
1,الشرابية,El-Sharrabeya,30.079173,31.2639339,
1,الحلمية,Al-Helmeya,30.1125623,31.3342801,
1,حدائق الزيتون,Hadayeq Al-Zaitoun,30.1137865,31.3334645,
1,الزيتون,Al-Zaitoun,30.0998365,31.3082194,
1,عين شمس,Ain Shams,30.1304761,31.3167491,
1,الموسكى,Al-Mosky,30.0503528,31.253695,
1,الأزبكية,Al-Azbakeya,30.0538891,31.2454725,
1,الجمالية,El-Gamaliyya,30.0518089,31.2648529,
1,باب الشعرية,Bab Al-Shaaria,30.0584951,31.2552829,
1,الحلمية القديمة,El-Darb El-Ahmar,30.0421731,31.2620473,
1,الخليفة,El-Khaleefa,30.0113183,31.2647255,
1,قباء,Qebaa,30.14001,31.3856254,
1,مدينة ميراج,Mirage City,30.0716564,31.4353683,
1,حدائق القبة,Hadaiq el Qubbah,30.0821784,31.2825387,
1,كوبري القبة,Kubri el Kubbeh,30.0833009,31.3000582,
1,منشية البكرى,Manshiyet el Bakri,30.0819767,31.2997352,
1,الدمرداش,El Dimirdash,30.0650382,31.2992074,
1,العباسية,El Abbasiyah,30.066667,31.283333,
1,مدينة نصر,Nasr City,30.0521177,31.3422045,
1,باب الشعرية,Bab al Shariyah,30.05,31.25,
1,الجيوشى,El Giyushi,30.0370584,31.267138,
1,أثر النبي,El Sheikh Mubarak,30.0000755,31.2334638,
1,المنيل,Al Manyal,30.0209947,31.2255698,
1,برج الحدود,Burg al Hudud,30.083056,31.433056,
1,باب اللوق,Bab al Luq,30.0458315,31.239586,
1,السكاكيني,El Sakakini,30.0672856,31.2665717,
1,الأميرية,Amiriya,30.1000001,31.283333,
1,السكاكيني,Al Sakakini,30.0672856,31.2665717,
1,الأميرية,Amiriya,30.1,31.283333,
1,مصر الجديدة,Heliopolis,30.1005985,31.3329136,
1,الفاروقية,El Faroukiya,29.95,31.266667,
1,طرة,Tura,29.9345933,31.2807256,
1,معادي الخبيري,Ma‘adi Al Khahiri,29.9680141,31.2491432,
1,طرة الأسمنت,Tura al Asmant,29.931143,31.2935121,
1,حلوان,Helwan,29.8500001,31.333333,
1,ماي فير,May Fair,30.1304935,31.6070981,
1,شروق 2000,Shoruq 2000,30.1364066,31.6060927,
1,عين شمس الجديدة,New Heliopolis,30.1180968,31.6925603,
1,كايرو فستيفال سيتى,Cairo Festival City,30.032513,31.41296,
1,أحياء التجمع الخامس,Districts of El Tagamoa El Khames,30.0023841,31.4267324,
1,أحياء جنوب الأكاديمية,Ganoob El Akademeya Districts,30.0270747,31.4314871,
1,أحياء شرق الأكاديمية,Shark El Akademya Districts,30.0425366,31.4355795,
1,أحياء الياسمين,Yasmeen Districts,30.038078,31.450513,
1,أحياء البنفسج,Banafseg Districts,30.0538553,31.468095,
