bim_code,product_category_slug,product_category_name_ar,product_category_name_en,product_category_child_slug,product_category_child_name_ar,product_category_child_name_en,brand_slug,brand_name_ar,brand_name_en,brand_country_code,product_type,name_ar,name_en,short_name_ar,unit_code,unit_name_ar,unit_name_en,unit_type,package_value,package_label_ar,package_label_en,country_code,market_scope,is_verified_egypt,verification_source,search_keywords,approval_status,sort_order
BIM-RT-APPL-001,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي ثلاجة نوفروست ١٦ قدم,Toshiba El Araby No-Frost Refrigerator 16ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة نوفروست توشيبا refrigerator,approved,1
BIM-RT-APPL-002,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي ثلاجة نوفروست ١٤ قدم,Toshiba El Araby No-Frost Refrigerator 14ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة نوفروست توشيبا refrigerator,approved,2
BIM-RT-APPL-003,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي غسالة أوتوماتيك ٧ كجم,Toshiba El Araby Automatic Washing Machine 7kg,غسالة أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة اوتوماتيك توشيبا washing machine,approved,3
BIM-RT-APPL-004,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي ديب فريزر ٥ درج,Toshiba El Araby Deep Freezer 5 Drawers,ديب فريزر,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ديب فريزر توشيبا freezer,approved,4
BIM-RT-APPL-005,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي تكييف سبليت ١.٥ حصان,Toshiba El Araby Split Air Conditioner 1.5HP,تكييف سبليت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,تكييف سبليت توشيبا air conditioner,approved,5
BIM-RT-APPL-006,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,toshiba,توشيبا العربي,Toshiba El Araby,EG,simple,توشيبا العربي سخان كهرباء ٥٠ لتر,Toshiba El Araby Electric Water Heater 50L,سخان كهرباء,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سخان كهرباء توشيبا water heater,approved,6
BIM-RT-APPL-007,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,kiriazi,كريازي,Kiriazi,EG,simple,كريازي ثلاجة نوفروست ١٤ قدم,Kiriazi No-Frost Refrigerator 14ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة كريازي refrigerator,approved,7
BIM-RT-APPL-008,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,kiriazi,كريازي,Kiriazi,EG,simple,كريازي ديب فريزر ٧ درج,Kiriazi Deep Freezer 7 Drawers,ديب فريزر,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ديب فريزر كريازي freezer,approved,8
BIM-RT-APPL-009,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,kiriazi,كريازي,Kiriazi,EG,simple,كريازي بوتاجاز ٥ شعلة,Kiriazi Gas Cooker 5 Burners,بوتاجاز,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,بوتاجاز كريازي cooker,approved,9
BIM-RT-APPL-010,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,kiriazi,كريازي,Kiriazi,EG,simple,كريازي غسالة نصف أوتوماتيك ٩ كجم,Kiriazi Semi-Automatic Washing Machine 9kg,غسالة نصف أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة كريازي washing machine,approved,10
BIM-RT-APPL-011,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,kiriazi,كريازي,Kiriazi,EG,simple,كريازي سخان غاز ١٠ لتر,Kiriazi Gas Water Heater 10L,سخان غاز,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سخان غاز كريازي heater,approved,11
BIM-RT-APPL-012,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,fresh,فريش,Fresh,EG,simple,فريش بوتاجاز ٤ شعلة,Fresh Gas Cooker 4 Burners,بوتاجاز,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,بوتاجاز فريش cooker,approved,12
BIM-RT-APPL-013,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,fresh,فريش,Fresh,EG,simple,فريش سخان كهرباء ٤٠ لتر,Fresh Electric Water Heater 40L,سخان كهرباء,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سخان فريش heater,approved,13
BIM-RT-APPL-014,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,fresh,فريش,Fresh,EG,simple,فريش دفاية كهربائية,Fresh Electric Heater,دفاية,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,دفاية فريش heater,approved,14
BIM-RT-APPL-015,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,fresh,فريش,Fresh,EG,simple,فريش مروحة عمود,Fresh Stand Fan,مروحة عمود,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,مروحة فريش fan,approved,15
BIM-RT-APPL-016,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,sharp,شارب,Sharp,JP,simple,شارب ثلاجة نوفروست ١٨ قدم,Sharp No-Frost Refrigerator 18ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة شارب refrigerator,approved,16
BIM-RT-APPL-017,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,sharp,شارب,Sharp,JP,simple,شارب غسالة فول أوتوماتيك ٨ كجم,Sharp Fully Automatic Washing Machine 8kg,غسالة فول أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة شارب washing machine,approved,17
BIM-RT-APPL-018,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,sharp,شارب,Sharp,JP,simple,شارب ميكروويف ٢٥ لتر,Sharp Microwave Oven 25L,ميكروويف,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ميكروويف شارب microwave,approved,18
BIM-RT-APPL-019,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,sharp,شارب,Sharp,JP,simple,شارب تكييف سبليت ٢.٢٥ حصان,Sharp Split Air Conditioner 2.25HP,تكييف سبليت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,تكييف شارب air conditioner,approved,19
BIM-RT-APPL-020,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,samsung,سامسونج,Samsung,KR,simple,سامسونج ثلاجة نوفروست ١٧ قدم,Samsung No-Frost Refrigerator 17ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة سامسونج refrigerator,approved,20
BIM-RT-APPL-021,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,samsung,سامسونج,Samsung,KR,simple,سامسونج غسالة فول أوتوماتيك ٩ كجم,Samsung Fully Automatic Washing Machine 9kg,غسالة فول أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة سامسونج washing machine,approved,21
BIM-RT-APPL-022,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,samsung,سامسونج,Samsung,KR,simple,سامسونج ميكروويف ٢٣ لتر,Samsung Microwave Oven 23L,ميكروويف,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ميكروويف سامسونج microwave,approved,22
BIM-RT-APPL-023,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,lg,إل جي,LG,KR,simple,إل جي ثلاجة نوفروست ٢١ قدم,LG No-Frost Refrigerator 21ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة ال جي refrigerator,approved,23
BIM-RT-APPL-024,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,lg,إل جي,LG,KR,simple,إل جي غسالة فول أوتوماتيك ٨ كجم,LG Fully Automatic Washing Machine 8kg,غسالة فول أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة ال جي washing machine,approved,24
BIM-RT-APPL-025,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,lg,إل جي,LG,KR,simple,إل جي شاشة سمارت ٥٥ بوصة,LG Smart TV 55 inch,شاشة سمارت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,شاشة ال جي smart tv,approved,25
BIM-RT-APPL-026,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,zanussi,زانوسي,Zanussi,IT,simple,زانوسي غسالة أوتوماتيك ٧ كجم,Zanussi Automatic Washing Machine 7kg,غسالة أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة زانوسي washing machine,approved,26
BIM-RT-APPL-027,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,zanussi,زانوسي,Zanussi,IT,simple,زانوسي بوتاجاز ٤ شعلة,Zanussi Gas Cooker 4 Burners,بوتاجاز,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,بوتاجاز زانوسي cooker,approved,27
BIM-RT-APPL-028,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,white_whale,وايت ويل,White Whale,EG,simple,وايت ويل تكييف سبليت ٣ حصان,White Whale Split Air Conditioner 3HP,تكييف سبليت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,تكييف وايت ويل air conditioner,approved,28
BIM-RT-APPL-029,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,white_whale,وايت ويل,White Whale,EG,simple,وايت ويل غسالة أطباق ١٢ فرد,White Whale Dishwasher 12 Place Settings,غسالة أطباق,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة اطباق وايت ويل dishwasher,approved,29
BIM-RT-APPL-030,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,unionaire,يونيون اير,Unionaire,EG,simple,يونيون اير تكييف سبليت ١.٥ حصان,Unionaire Split Air Conditioner 1.5HP,تكييف سبليت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,تكييف يونيون اير air conditioner,approved,30
BIM-RT-APPL-031,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,unionaire,يونيون اير,Unionaire,EG,simple,يونيون اير ثلاجة نوفروست ١٦ قدم,Unionaire No-Frost Refrigerator 16ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة يونيون اير refrigerator,approved,31
BIM-RT-APPL-032,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,tornado,تورنيدو,Tornado,EG,simple,تورنيدو تكييف سبليت ٢.٢٥ حصان,Tornado Split Air Conditioner 2.25HP,تكييف سبليت,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,تكييف تورنيدو air conditioner,approved,32
BIM-RT-APPL-033,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,tornado,تورنيدو,Tornado,EG,simple,تورنيدو خلاط كهربائي,Tornado Electric Blender,خلاط,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,خلاط تورنيدو blender,approved,33
BIM-RT-APPL-034,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,tornado,تورنيدو,Tornado,EG,simple,تورنيدو سخان كهرباء ٣٠ لتر,Tornado Electric Water Heater 30L,سخان كهرباء,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سخان تورنيدو heater,approved,34
BIM-RT-APPL-035,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,beko,بيكو,Beko,TR,simple,بيكو غسالة فول أوتوماتيك ٧ كجم,Beko Fully Automatic Washing Machine 7kg,غسالة فول أوتوماتيك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,غسالة بيكو washing machine,approved,35
BIM-RT-APPL-036,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,home_appliances,أجهزة كهربائية,Home Appliances,beko,بيكو,Beko,TR,simple,بيكو ثلاجة نوفروست ١٥ قدم,Beko No-Frost Refrigerator 15ft,ثلاجة نوفروست,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ثلاجة بيكو refrigerator,approved,36
BIM-RT-APSP-001,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,كمبروسر ثلاجة ١/٤ حصان,Refrigerator Compressor 1/4HP,كمبروسر ثلاجة,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,كمبروسر ثلاجة compressor,approved,37
BIM-RT-APSP-002,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,ترموستات ثلاجة,Refrigerator Thermostat,ترموستات,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ترموستات ثلاجة thermostat,approved,38
BIM-RT-APSP-003,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,سير غسالة أوتوماتيك,Washing Machine Belt,سير غسالة,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سير غسالة belt,approved,39
BIM-RT-APSP-004,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,موتور غسالة أوتوماتيك,Washing Machine Motor,موتور غسالة,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,موتور غسالة motor,approved,40
BIM-RT-APSP-005,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,سخان مياه سخان كهرباء,Water Heater Element,سخان عنصر,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,عنصر تسخين heater element,approved,41
BIM-RT-APSP-006,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,appliance_spare_parts,قطع غيار أجهزة,Appliance Spare Parts,generic,بدون علامة,Generic,EG,simple,ريموت تكييف يونيفرسال,Universal AC Remote,ريموت تكييف,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ريموت تكييف remote,approved,42
BIM-RT-COMP-001,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,hp,اتش بي,HP,US,simple,اتش بي لابتوب بروبوك ١٥.٦ بوصة,HP ProBook Laptop 15.6 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,اتش بي لابتوب laptop كمبيوتر,approved,43
BIM-RT-COMP-002,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,hp,اتش بي,HP,US,simple,اتش بي لابتوب بافيليون ١٤ بوصة,HP Pavilion Laptop 14 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,اتش بي لابتوب laptop كمبيوتر,approved,44
BIM-RT-COMP-003,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,hp,اتش بي,HP,US,simple,اتش بي طابعة ليزر أبيض وأسود,HP LaserJet Mono Printer,طابعة ليزر,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,اتش بي طابعة ليزر laptop كمبيوتر,approved,45
BIM-RT-COMP-004,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,dell,ديل,Dell,US,simple,ديل لابتوب انسبايرون ١٥ بوصة,Dell Inspiron Laptop 15 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ديل لابتوب laptop كمبيوتر,approved,46
BIM-RT-COMP-005,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,dell,ديل,Dell,US,simple,ديل لابتوب لاتيتيود ١٤ بوصة,Dell Latitude Laptop 14 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ديل لابتوب laptop كمبيوتر,approved,47
BIM-RT-COMP-006,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,dell,ديل,Dell,US,simple,ديل شاشة كمبيوتر ٢٤ بوصة,Dell Monitor 24 inch,شاشة كمبيوتر,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ديل شاشة كمبيوتر laptop كمبيوتر,approved,48
BIM-RT-COMP-007,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,lenovo,لينوفو,Lenovo,CN,simple,لينوفو لابتوب ايديا باد ١٥.٦ بوصة,Lenovo IdeaPad Laptop 15.6 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,لينوفو لابتوب laptop كمبيوتر,approved,49
BIM-RT-COMP-008,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,lenovo,لينوفو,Lenovo,CN,simple,لينوفو لابتوب ثينك باد ١٤ بوصة,Lenovo ThinkPad Laptop 14 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,لينوفو لابتوب laptop كمبيوتر,approved,50
BIM-RT-COMP-009,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,asus,اسوس,Asus,TW,simple,اسوس لابتوب فيفو بوك ١٥.٦ بوصة,Asus VivoBook Laptop 15.6 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,اسوس لابتوب laptop كمبيوتر,approved,51
BIM-RT-COMP-010,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,asus,اسوس,Asus,TW,simple,اسوس لابتوب تاف جيمنج ١٥.٦ بوصة,Asus TUF Gaming Laptop 15.6 inch,لابتوب جيمنج,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,اسوس لابتوب جيمنج laptop كمبيوتر,approved,52
BIM-RT-COMP-011,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,acer,ايسر,Acer,TW,simple,ايسر لابتوب اسباير ١٥.٦ بوصة,Acer Aspire Laptop 15.6 inch,لابتوب,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ايسر لابتوب laptop كمبيوتر,approved,53
BIM-RT-COMP-012,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,apple,ابل,Apple,US,simple,ابل ماك بوك اير ١٣ بوصة,Apple MacBook Air 13 inch,ماك بوك,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ابل ماك بوك laptop كمبيوتر,approved,54
BIM-RT-COMP-013,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,computers_laptops,كمبيوتر ولابتوب,Computers & Laptops,apple,ابل,Apple,US,simple,ابل ايباد ١٠.٩ بوصة,Apple iPad 10.9 inch,ايباد,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,ابل ايباد laptop كمبيوتر,approved,55
BIM-RT-MOBI-001,electronics_tech,إلكترونيات وأجهزة,Electronics & Tech,mobiles_accessories,موبايلات وإكسسوارات,Mobiles & Accessories,samsung,سامسونج,Samsung,KR,simple,سامسونج جالاكسي A١٥ ١٢٨ جيجا,Samsung Galaxy A15 128GB,موبايل,pcs,قطعة,Piece,count,,,,EG,egypt,0,research,سامسونج موبايل mobile Samsung,approved,56
